model,dataset,seed,scenario,bound_type,delta,final_bound,max_bound,actual_final_divergence,actual_max_divergence,looseness_final,looseness_max,bound_holds,certifies_safe,abstains,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,E_empirical_envelope,0.008968966081738472,0.11074814318955813,0.11105051704473043,0.1059509813785553,0.10624025762081146,1.0452771814719009,1.0452771814719009,True,False,False,0.13455750000139233
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,A_fixed_clean,0.1614413857460022,0.4933325436650054,0.4933325436650054,0.07233166694641113,0.6268767714500427,6.820422706841585,0.7869689325445364,False,False,False,0.13431259999924805
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,B_fixed_rewritten,0.1614413857460022,2558.515463274858,2558.515463274858,0.07233166694641113,0.6268767714500427,35371.996406088685,4081.369066135117,False,False,False,0.13431259999924805
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,C_fixed_max,0.1614413857460022,2558.515463274858,2558.515463274858,0.07233166694641113,0.6268767714500427,35371.996406088685,4081.369066135117,False,False,False,0.13431259999924805
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,D_stepwise_product,0.1614413857460022,0.3530874034282609,0.3530874034282609,0.07233166694641113,0.6268767714500427,4.8815051323213,0.5632485035480362,False,False,False,0.5498533833325989
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,E_empirical_envelope,0.1614413857460022,0.0756066884503033,0.6552603964024504,0.07233166694641113,0.6268767714500427,1.0452778380777337,1.045277838077734,True,False,False,0.13431259999924805
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,optimizer_state_from_older_checkpoint,A_fixed_clean,0.0638786181807518,0.1952002644631432,0.1952002644631432,0.07388726621866226,0.27925047278404236,2.641866108369293,0.6990149829185816,False,False,False,0.13431469999886758
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,optimizer_state_from_older_checkpoint,B_fixed_rewritten,0.0638786181807518,0.18327518480908736,0.18327518480908736,0.07388726621866226,0.27925047278404236,2.480470508500099,0.6563110994294458,False,False,False,0.13431469999886758
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,optimizer_state_from_older_checkpoint,C_fixed_max,0.0638786181807518,0.1952002644631432,0.1952002644631432,0.07388726621866226,0.27925047278404236,2.641866108369293,0.6990149829185816,False,False,False,0.13431469999886758
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,optimizer_state_from_older_checkpoint,D_stepwise_product,0.0638786181807518,0.13970850983348596,0.13970850983348596,0.07388726621866226,0.27925047278404236,1.8908333869063723,0.5002982034036847,False,False,False,0.5498554833322185
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,optimizer_state_from_older_checkpoint,E_empirical_envelope,0.0638786181807518,0.08218260566112166,0.3106019840763334,0.07388726621866226,0.27925047278404236,1.112270217413514,1.112270217413514,True,False,False,0.13431469999886758
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,params_current_optimizer_older,A_fixed_clean,0.09909094125032425,0.30280207194265,0.30280207194265,0.09197995811700821,0.3884899616241455,3.292044029390118,0.779433452222901,False,False,False,0.1335665999995399
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,params_current_optimizer_older,B_fixed_rewritten,0.09909094125032425,0.2760873896859564,0.2760873896859564,0.09197995811700821,0.3884899616241455,3.0016037769308848,0.7106680145137552,False,False,False,0.1335665999995399
